Temperature,Humidity,Soil Moisture,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Soil Type,Season,Location,Crop
18.5,64.0,55.42541235855825,89,35,14,5.8,88.9,Clay,Kharif,Delhi,Maize
24.2,89.8,76.73062761222857,49,51,42,6.9,206.8,Black,Kharif,Pune,Papaya
25.2,71.2,63.46020600605303,75,41,13,6.4,85.2,Black,Kharif,Bangalore,Maize
25.6,85.4,75.66561502357771,35,130,191,6.1,60.6,Black,Zaid,Delhi,Grapes
22.4,77.5,68.84864329616154,90,40,48,6.2,148.7,Red,Kharif,Kolkata,Jute
32.1,64.6,55.50523418342024,59,58,18,6.5,63.2,Loamy,Zaid,Ahmedabad,Blackgram
22.2,51.8,38.142530911498724,34,52,84,6.5,32.2,Red,Rabi,Bangalore,Chickpea
25.5,97.7,90.0,23,24,47,6.0,104.9,Clay,Rabi,Nashik,Pomegranate
28.5,66.2,52.582308004366766,44,48,28,7.2,56.2,Red,Rabi,Nashik,Mothbeans
23.9,53.0,42.44684522659763,32,36,14,8.4,66.9,Black,Rabi,Bangalore,Mothbeans
29.1,68.4,60.714548357089356,16,49,21,6.5,56.5,Clay,Zaid,Delhi,Mungbean
27.9,92.2,77.26092297091111,34,23,20,5.3,206.6,Clay,Rabi,Mumbai,Coconut
17.1,97.7,83.27110767598508,33,31,11,7.5,103.3,Loamy,Kharif,Hyderabad,Orange
16.9,22.2,11.660182603974782,18,79,28,5.4,154.8,Black,Rabi,Bangalore,Kidneybeans
17.4,48.3,40.85072434472266,84,62,15,7.2,65.2,Loamy,Kharif,Kolkata,Maize
29.7,68.0,55.01920361436146,22,36,21,7.3,37.0,Clay,Zaid,Nagpur,Mungbean
26.8,58.3,52.089285739453935,38,58,12,7.4,74.9,Black,Kharif,Nagpur,Blackgram
21.2,54.8,39.8092492483467,38,61,82,6.2,52.6,Loamy,Rabi,Ahmedabad,Chickpea
27.6,87.1,75.73615856652891,121,6,54,6.5,21.7,Loamy,Zaid,Nashik,Muskmelon
18.9,60.5,53.511467247029955,11,50,12,7.0,33.1,Loamy,Zaid,Ahmedabad,Lentil
22.2,68.0,56.39675568458241,78,48,35,5.5,141.2,Black,Kharif,Nashik,Jute
28.9,65.5,55.09801561427739,23,59,22,6.9,56.6,Loamy,Zaid,Delhi,Lentil
20.4,65.6,51.60735282818972,33,71,77,5.9,28.7,Clay,Rabi,Chennai,Chickpea
18.5,68.7,61.432545076924285,16,70,72,5.5,45.2,Black,Rabi,Bangalore,Chickpea
30.1,62.1,55.6721408787034,22,54,13,5.0,148.9,Loamy,Zaid,Ahmedabad,Pigeonpeas
26.5,96.2,87.72388330287966,118,28,59,6.2,19.1,Clay,Zaid,Nagpur,Muskmelon
29.6,53.5,45.07031688859662,28,11,33,4.6,86.0,Black,Kharif,Bangalore,Mango
24.2,47.7,39.57790251162339,88,21,31,6.0,177.9,Red,Rabi,Hyderabad,Coffee
10.9,94.2,83.18866328220932,42,16,10,7.3,121.0,Loamy,Zaid,Pune,Orange
5.0,95.9,89.12818631427012,35,144,200,6.3,104.4,Red,Kharif,Delhi,Apple
28.9,66.8,57.60021743191561,56,61,22,7.0,57.3,Black,Rabi,Mumbai,Blackgram
12.2,91.4,81.54771130687642,25,32,19,6.2,95.8,Black,Kharif,Mumbai,Orange
24.6,22.3,10.23489247435004,24,74,14,6.0,86.6,Loamy,Zaid,Nashik,Kidneybeans
24.9,58.7,47.19373777602099,93,37,34,6.5,117.8,Clay,Rabi,Hyderabad,Coffee
29.0,92.7,84.77176304778436,111,26,43,5.7,16.9,Loamy,Zaid,Kolkata,Muskmelon
29.7,61.1,48.818613016008655,34,53,20,6.8,128.9,Red,Zaid,Bangalore,Pigeonpeas
33.0,90.5,81.88619820307065,24,26,15,6.7,119.4,Red,Kharif,Nagpur,Orange
24.3,67.3,55.956730478397425,32,78,15,5.3,126.6,Clay,Zaid,Pune,Pigeonpeas
24.3,95.3,86.55782799515214,104,8,58,6.3,29.3,Clay,Zaid,Hyderabad,Muskmelon
22.9,90.4,79.5573191685972,50,60,47,7.0,140.8,Red,Rabi,Bangalore,Papaya
27.5,72.0,59.03402148309655,36,55,25,7.4,64.5,Black,Zaid,Kolkata,Mungbean
23.2,87.8,81.68781260547337,56,64,38,5.4,156.5,Loamy,Kharif,Bangalore,Jute
25.4,76.1,67.63926569156058,91,33,44,6.5,152.7,Loamy,Kharif,Chennai,Jute
21.2,96.4,86.37713573666502,39,27,16,5.9,113.3,Black,Kharif,Mumbai,Orange
27.2,88.0,79.1676324474208,30,142,208,6.3,65.2,Clay,Rabi,Nagpur,Grapes
24.1,62.1,54.19655453116711,23,55,10,5.9,59.3,Loamy,Rabi,Nagpur,Mothbeans
26.4,91.4,81.60324039116036,88,34,53,6.5,27.9,Loamy,Zaid,Hyderabad,Muskmelon
17.0,96.2,83.52776131897053,38,12,19,6.5,96.2,Red,Rabi,Nagpur,Orange
22.9,82.8,71.16288110497712,56,57,43,5.8,142.9,Red,Kharif,Bangalore,Jute
27.2,84.2,73.87459790829031,98,77,41,5.5,110.1,Red,Kharif,Mumbai,Banana
29.3,70.7,61.958739382441685,35,61,18,6.4,49.2,Black,Rabi,Ahmedabad,Mungbean
26.4,92.0,83.4293579501962,23,30,29,5.5,175.9,Black,Kharif,Chennai,Coconut
23.2,52.7,44.38198243360749,118,42,19,5.9,63.2,Clay,Kharif,Nagpur,Cotton
22.1,69.1,60.25396530064408,120,47,25,7.4,76.0,Loamy,Kharif,Delhi,Cotton
21.0,89.1,78.11901862764174,23,12,16,7.2,95.3,Loamy,Zaid,Chennai,Orange
23.6,65.4,58.03343746339734,103,35,24,6.0,93.9,Loamy,Kharif,Nagpur,Cotton
29.4,77.8,63.62920212213503,39,127,209,6.1,69.7,Loamy,Rabi,Mumbai,Grapes
20.8,82.3,70.01786724567467,84,58,36,7.0,183.1,Red,Kharif,Hyderabad,Rice
29.3,87.7,79.5411888643606,95,28,57,5.6,28.5,Red,Zaid,Pune,Muskmelon
26.0,90.5,82.3648563368897,107,25,45,6.1,44.1,Red,Zaid,Ahmedabad,Watermelon
14.8,88.6,82.61912313193807,33,138,198,5.8,124.0,Loamy,Zaid,Kolkata,Apple
19.6,80.6,66.63538174116802,55,44,30,6.8,193.3,Clay,Kharif,Ahmedabad,Rice
27.9,95.9,85.06583778629357,124,15,57,7.1,43.7,Loamy,Zaid,Bangalore,Watermelon
28.1,71.7,63.58264518896258,24,75,10,5.7,52.5,Red,Rabi,Ahmedabad,Lentil
23.7,51.3,38.35987750793211,112,29,32,6.6,178.7,Black,Zaid,Mumbai,Coffee
23.6,53.5,41.88665441103179,95,25,34,5.9,113.0,Clay,Kharif,Hyderabad,Coffee
11.9,91.4,77.08610041948086,36,7,17,5.9,121.7,Black,Rabi,Chennai,Orange
28.3,91.3,78.49314820331232,28,14,27,6.0,198.5,Clay,Rabi,Hyderabad,Coconut
20.0,86.1,76.03798824551869,38,119,198,6.2,64.0,Clay,Kharif,Hyderabad,Grapes
21.7,71.5,65.98346915832354,136,50,18,6.4,84.8,Red,Kharif,Mumbai,Cotton
29.4,66.3,53.582058973563,16,42,10,4.9,42.5,Clay,Rabi,Bangalore,Mothbeans
24.5,97.9,85.94702377069788,107,16,44,7.1,48.5,Black,Zaid,Hyderabad,Watermelon
29.7,69.5,62.28788815613645,27,49,25,7.7,38.3,Red,Rabi,Bangalore,Mungbean
28.6,88.7,74.1442076835533,36,25,6,6.2,115.5,Red,Zaid,Hyderabad,Orange
28.3,69.9,59.789804608199546,41,83,26,6.8,74.2,Clay,Kharif,Nagpur,Blackgram
26.3,93.8,79.0907734042724,111,17,44,5.9,34.4,Clay,Zaid,Nagpur,Muskmelon
24.3,79.9,67.03484766506364,57,34,49,7.0,146.4,Red,Kharif,Kolkata,Jute
22.0,87.1,75.03748176893221,76,52,32,7.2,177.5,Clay,Kharif,Kolkata,Rice
28.9,52.3,40.77038189814793,34,45,11,7.1,59.0,Red,Rabi,Mumbai,Mothbeans
24.2,51.4,43.00575280329395,81,35,10,6.4,81.9,Black,Kharif,Delhi,Maize
29.9,51.4,38.837431536126466,37,50,10,7.0,92.1,Loamy,Kharif,Pune,Pigeonpeas
29.8,50.1,36.43566162195707,42,54,18,4.5,96.8,Clay,Zaid,Nashik,Pigeonpeas
28.0,94.7,80.67222345341528,118,9,46,6.3,21.9,Clay,Zaid,Hyderabad,Muskmelon
23.7,90.8,76.10784458186077,96,28,52,6.9,64.0,Clay,Zaid,Ahmedabad,Watermelon
27.0,72.2,65.6436253855015,58,67,19,6.8,73.2,Loamy,Kharif,Hyderabad,Blackgram
25.9,91.5,86.36935133360483,63,63,51,6.9,202.9,Red,Rabi,Pune,Papaya
25.3,66.9,61.33402916170729,57,75,20,7.6,65.8,Red,Kharif,Pune,Blackgram
5.0,94.4,83.02104455993285,39,138,196,6.7,111.3,Loamy,Rabi,Bangalore,Apple
15.2,32.8,19.768041323453524,27,76,10,5.6,128.8,Red,Rabi,Nashik,Kidneybeans
20.7,27.7,21.39844428413366,40,69,17,5.6,63.7,Red,Rabi,Pune,Kidneybeans
22.3,97.0,86.51180605007343,42,28,49,6.8,99.5,Clay,Zaid,Chennai,Pomegranate
23.3,68.2,56.39753555714988,82,64,10,5.5,58.8,Red,Kharif,Kolkata,Maize
23.7,70.1,64.75776530509083,73,62,17,5.3,63.8,Clay,Kharif,Nashik,Maize
18.8,57.1,46.924750711669795,91,50,27,6.2,73.3,Red,Kharif,Nagpur,Maize
32.8,64.7,59.6921097285562,49,73,13,7.3,79.8,Black,Kharif,Mumbai,Blackgram
29.2,45.3,31.94120175258866,34,54,29,6.9,71.7,Red,Rabi,Bangalore,Mothbeans
21.2,60.0,51.155916603774976,35,51,12,6.9,91.3,Red,Zaid,Bangalore,Pigeonpeas
27.6,66.1,59.68873072688328,24,56,12,4.8,51.4,Red,Rabi,Nagpur,Mothbeans
27.9,65.7,50.98785275823741,107,16,22,6.5,190.7,Loamy,Zaid,Pune,Coffee
27.9,70.2,59.684448322198236,19,53,11,6.9,48.1,Black,Zaid,Bangalore,Mungbean
22.0,59.9,53.02533169194873,75,31,11,6.7,56.2,Loamy,Kharif,Bangalore,Maize
24.6,58.6,48.60024654514501,117,12,27,6.2,123.1,Black,Kharif,Hyderabad,Coffee
29.2,96.6,82.88337308448533,20,15,20,5.7,192.6,Black,Rabi,Pune,Coconut
19.8,82.6,72.68234502948826,21,12,32,6.8,109.4,Loamy,Rabi,Mumbai,Pomegranate
24.7,64.6,51.93691629699653,87,28,22,6.4,185.2,Black,Kharif,Chennai,Coffee
22.8,61.9,54.19628999607096,137,61,23,5.9,62.6,Clay,Kharif,Mumbai,Cotton
29.6,60.9,54.942328764786566,16,50,18,6.6,64.0,Loamy,Zaid,Kolkata,Mungbean
26.3,68.0,55.48964613245093,57,74,22,7.2,79.1,Loamy,Rabi,Hyderabad,Blackgram
30.1,50.9,45.80373023722053,37,58,16,3.9,42.3,Red,Zaid,Chennai,Mothbeans
27.3,87.7,75.63294026872606,119,30,46,6.0,36.8,Red,Zaid,Kolkata,Watermelon
5.0,89.8,75.65491297206762,37,137,205,6.2,96.5,Black,Zaid,Mumbai,Apple
26.4,58.0,50.366245210740246,114,39,31,6.0,170.7,Black,Rabi,Mumbai,Coffee
22.0,67.9,60.546952907809555,64,36,25,5.4,100.8,Red,Kharif,Kolkata,Maize
21.7,86.4,75.71599561244298,60,46,46,6.9,191.7,Loamy,Kharif,Nagpur,Rice
25.6,49.0,37.55888379108636,87,10,36,7.1,173.6,Red,Zaid,Bangalore,Coffee
16.5,93.6,82.57292150017436,42,6,5,7.2,95.5,Clay,Rabi,Pune,Orange
5.0,87.1,80.81432131490126,31,145,193,5.5,112.4,Black,Kharif,Bangalore,Apple
15.5,21.2,10.0,33,71,18,5.8,98.8,Black,Zaid,Ahmedabad,Kidneybeans
25.8,87.3,80.88722023509506,15,23,32,5.8,163.7,Clay,Zaid,Nashik,Coconut
22.5,61.9,55.05888579579888,40,50,76,5.7,40.2,Loamy,Rabi,Bangalore,Chickpea
25.4,88.2,80.8649360439629,102,12,51,6.5,50.5,Black,Zaid,Nashik,Watermelon
19.8,82.6,75.1166097158252,37,121,197,5.5,65.2,Clay,Zaid,Nashik,Grapes
24.7,66.6,57.15656548852082,21,68,19,6.0,32.6,Black,Kharif,Nagpur,Lentil
5.0,87.4,73.274778294428,32,122,192,6.1,123.6,Clay,Kharif,Chennai,Apple
13.9,92.9,86.63007412775299,20,145,194,6.2,95.7,Red,Zaid,Pune,Apple
27.9,63.5,54.95093514674832,19,75,19,5.1,145.4,Black,Kharif,Ahmedabad,Pigeonpeas
28.0,88.5,83.4887115706257,99,29,51,6.7,24.1,Clay,Zaid,Chennai,Muskmelon
17.9,62.4,55.58647187419345,37,73,29,4.5,100.6,Black,Rabi,Chennai,Pigeonpeas
21.6,49.4,34.660394990565166,59,64,14,7.1,95.4,Red,Kharif,Nagpur,Maize
22.4,67.2,52.76964712377719,107,36,17,6.5,78.9,Red,Kharif,Chennai,Cotton
28.9,52.8,43.446015543704,27,44,25,5.0,40.7,Black,Zaid,Nagpur,Mothbeans
20.8,55.4,43.45710816570529,32,66,75,6.5,50.1,Black,Rabi,Bangalore,Chickpea
25.1,87.8,75.95552371382001,33,11,32,5.9,222.5,Black,Kharif,Chennai,Coconut
26.4,47.8,33.218326101667586,38,27,37,6.0,103.6,Loamy,Zaid,Nashik,Mango
29.1,42.7,28.52499051274833,24,35,29,6.3,103.3,Red,Rabi,Chennai,Mango
29.7,67.5,56.966162564519905,38,57,10,7.3,40.6,Clay,Zaid,Kolkata,Mungbean
25.4,89.7,78.39784978240965,91,12,49,6.7,54.6,Loamy,Zaid,Chennai,Watermelon
25.8,93.5,80.6545100957605,37,33,28,5.3,185.8,Clay,Zaid,Delhi,Coconut
29.4,87.4,81.5785169281138,116,34,45,6.1,19.3,Red,Zaid,Chennai,Muskmelon
20.8,22.3,10.0,20,72,14,5.8,112.2,Loamy,Kharif,Nashik,Kidneybeans
23.6,81.2,71.1116171571357,68,34,48,7.1,172.3,Red,Kharif,Nashik,Jute
25.4,94.8,85.06230386149761,40,41,46,7.2,168.3,Clay,Rabi,Nagpur,Papaya
28.8,58.2,44.2430904372479,35,49,11,6.5,37.5,Red,Kharif,Nashik,Mungbean
28.3,59.5,49.548922310250546,32,34,13,7.1,52.2,Clay,Kharif,Mumbai,Mothbeans
5.0,88.8,74.74605589278448,16,120,207,5.8,108.1,Red,Rabi,Nagpur,Apple
18.8,69.2,58.559216118999274,84,35,13,5.3,82.8,Clay,Kharif,Pune,Maize
28.8,93.9,83.24529724719184,114,18,40,5.5,31.4,Clay,Zaid,Chennai,Muskmelon
24.5,43.5,35.89054962004688,42,52,12,6.9,43.1,Clay,Kharif,Chennai,Mothbeans
25.7,96.7,84.57123419787152,31,9,14,7.4,114.0,Clay,Zaid,Nagpur,Orange
23.4,47.8,35.906906367145,85,36,18,5.4,70.4,Loamy,Kharif,Mumbai,Maize
20.0,80.0,71.0921849235127,71,64,41,7.1,214.0,Black,Kharif,Ahmedabad,Rice
27.3,91.8,86.55411869224586,97,32,41,7.2,63.1,Loamy,Zaid,Nashik,Watermelon
5.0,89.8,83.16431355376622,31,124,204,6.6,104.3,Black,Zaid,Bangalore,Apple
26.0,96.5,89.29458055487042,87,26,48,5.6,24.0,Red,Zaid,Hyderabad,Muskmelon
25.0,94.0,80.7490100275881,19,34,22,5.3,200.6,Red,Zaid,Mumbai,Coconut
28.0,62.7,55.163895750226885,35,63,20,6.8,52.0,Black,Zaid,Delhi,Mungbean
26.5,96.8,84.7692764585965,35,34,31,5.5,207.0,Red,Kharif,Kolkata,Coconut
23.3,80.6,73.59175879765293,32,135,203,5.3,77.6,Black,Rabi,Nashik,Grapes
23.5,95.5,86.0274581564066,59,58,58,6.5,221.3,Black,Zaid,Chennai,Papaya
28.0,96.1,81.7323454169761,113,5,46,6.0,49.9,Black,Zaid,Chennai,Watermelon
31.6,48.5,34.190989032783975,35,38,38,5.6,94.7,Clay,Rabi,Delhi,Mango
27.6,93.3,87.4931019496698,103,30,56,5.8,22.3,Loamy,Zaid,Pune,Muskmelon
33.1,47.4,33.46619225367384,27,27,30,6.1,97.8,Black,Kharif,Nagpur,Mango
18.7,30.8,18.71833491492681,39,54,20,6.1,136.2,Red,Zaid,Delhi,Kidneybeans
25.8,87.3,75.692434724589,116,84,55,5.5,88.5,Clay,Zaid,Hyderabad,Banana
25.3,89.5,76.80810947772902,89,15,46,5.7,30.4,Red,Zaid,Nashik,Muskmelon
9.4,89.4,78.06136751911336,32,120,192,6.4,124.1,Red,Rabi,Nashik,Apple
20.7,83.3,76.53090354721078,58,63,36,6.0,223.4,Black,Kharif,Hyderabad,Rice
24.6,97.9,90.0,42,64,57,6.2,165.7,Black,Kharif,Ahmedabad,Papaya
20.3,82.7,75.8466579919455,15,144,205,5.6,70.2,Clay,Zaid,Mumbai,Grapes
25.4,95.6,84.0693016757467,66,61,54,6.0,121.5,Loamy,Kharif,Bangalore,Papaya
20.5,32.9,22.884588867949354,37,83,19,5.9,73.8,Clay,Kharif,Pune,Kidneybeans
20.3,90.8,79.32960720131507,44,27,31,7.1,112.8,Clay,Kharif,Pune,Pomegranate
28.2,65.3,55.075268737018746,6,63,12,5.9,56.0,Black,Kharif,Kolkata,Lentil
30.5,62.8,54.4661957024374,26,62,29,8.4,49.4,Loamy,Kharif,Nagpur,Mothbeans
28.8,88.5,82.45091645937758,99,14,40,6.0,29.8,Clay,Zaid,Mumbai,Muskmelon
23.4,85.1,78.33763512204457,56,48,39,6.3,199.5,Black,Kharif,Mumbai,Rice
29.1,70.8,64.67168038851416,44,51,27,6.3,59.1,Clay,Zaid,Hyderabad,Mungbean
5.0,87.9,79.66927385520667,19,132,194,5.7,112.2,Clay,Kharif,Ahmedabad,Apple
21.9,43.7,37.58740294786331,42,84,28,5.6,114.4,Red,Rabi,Delhi,Pigeonpeas
5.0,87.2,78.91111424661479,37,136,201,6.6,122.0,Red,Kharif,Bangalore,Apple
27.4,61.7,51.355397775813806,32,30,17,6.0,41.7,Clay,Zaid,Chennai,Mungbean
16.8,33.0,21.93677042631243,34,51,12,6.0,151.5,Clay,Kharif,Kolkata,Kidneybeans
29.6,52.4,40.78016890205152,33,11,35,5.0,86.2,Black,Zaid,Bangalore,Mango
23.5,87.2,79.20821382200297,37,143,193,5.6,58.3,Black,Rabi,Kolkata,Grapes
28.0,96.7,88.63993003955163,96,17,56,5.5,30.8,Loamy,Zaid,Hyderabad,Muskmelon
27.2,57.6,47.5175551573135,64,81,14,7.5,76.9,Black,Rabi,Nashik,Blackgram
28.5,60.4,51.46666518780607,27,50,16,8.6,56.6,Loamy,Kharif,Bangalore,Mothbeans
18.6,58.7,44.3833533371223,21,64,78,5.8,64.6,Black,Rabi,Kolkata,Chickpea
24.4,46.0,36.56670478354363,21,58,14,6.6,53.7,Red,Zaid,Ahmedabad,Mothbeans
21.2,22.2,13.775949667795043,36,82,10,5.4,121.0,Black,Rabi,Pune,Kidneybeans
26.4,87.2,73.91101804096253,111,20,51,6.9,43.5,Loamy,Zaid,Pune,Watermelon
22.7,48.9,35.86363623749419,36,70,70,5.7,28.3,Black,Rabi,Pune,Chickpea
25.9,42.1,30.479547241362482,16,46,29,7.4,29.2,Black,Kharif,Delhi,Mothbeans
22.2,51.1,44.01452567369319,35,81,23,6.8,149.9,Red,Rabi,Chennai,Pigeonpeas
28.0,89.9,83.64248919286271,19,12,30,6.7,148.9,Loamy,Rabi,Nagpur,Coconut
24.7,85.7,76.12621593247815,68,53,45,6.3,176.4,Black,Kharif,Hyderabad,Jute
22.3,58.8,49.92551747346452,124,42,19,6.1,58.2,Loamy,Kharif,Nagpur,Cotton
28.1,62.1,47.3046861993568,42,57,28,6.6,64.5,Red,Zaid,Nashik,Mungbean
22.9,25.6,13.449008877994885,19,76,17,6.1,55.6,Black,Rabi,Pune,Kidneybeans
21.6,71.0,62.20588475540244,122,57,23,6.8,91.1,Black,Kharif,Bangalore,Cotton
24.1,52.5,42.81338236110355,82,53,12,6.7,88.4,Clay,Kharif,Delhi,Maize
25.3,81.1,71.27109504043723,35,137,195,6.6,61.6,Red,Kharif,Chennai,Grapes
24.5,92.2,83.74037487480521,56,43,58,6.3,143.0,Red,Zaid,Mumbai,Papaya
33.3,67.9,54.17205473950865,43,84,12,6.5,59.1,Loamy,Rabi,Chennai,Blackgram
18.6,49.8,39.71695034202861,25,68,73,5.4,61.1,Red,Rabi,Delhi,Chickpea
27.0,88.4,77.15473311035488,35,8,29,5.7,175.9,Red,Zaid,Kolkata,Coconut
27.3,59.7,47.754938240690976,36,38,24,6.6,58.3,Loamy,Zaid,Bangalore,Mungbean
24.3,93.8,83.75000191511849,51,61,43,6.2,159.9,Black,Zaid,Kolkata,Papaya
25.1,63.3,52.42318800095932,96,44,28,7.2,65.9,Loamy,Kharif,Ahmedabad,Cotton
24.8,90.8,81.12027402448692,37,22,38,6.4,147.3,Red,Rabi,Ahmedabad,Coconut
18.6,51.1,43.44181618920246,31,69,28,5.6,89.5,Black,Kharif,Hyderabad,Pigeonpeas
22.9,80.0,72.8964196156033,26,130,191,5.4,62.6,Clay,Rabi,Nagpur,Grapes
26.7,69.8,57.897977511219075,60,34,36,6.9,145.6,Red,Kharif,Mumbai,Jute
23.1,88.9,75.9174991358701,63,49,57,6.9,177.4,Loamy,Zaid,Nagpur,Papaya
26.1,59.8,51.08521047926154,86,38,29,5.4,65.8,Red,Kharif,Delhi,Maize
22.9,70.7,56.41334453358615,76,64,48,5.6,160.1,Black,Kharif,Kolkata,Jute
25.1,64.2,51.02725303800252,139,48,18,7.0,58.7,Loamy,Kharif,Delhi,Cotton
20.9,81.1,66.66275200827428,73,41,44,5.8,220.8,Black,Kharif,Kolkata,Rice
27.3,49.4,39.14654103317527,27,40,22,5.2,28.2,Loamy,Zaid,Delhi,Mothbeans
23.1,70.4,63.01840173097664,56,63,23,6.9,78.2,Clay,Kharif,Bangalore,Maize
25.4,93.5,81.44108463269686,93,21,54,6.7,43.1,Red,Zaid,Nagpur,Watermelon
26.9,67.4,58.785804641072225,31,56,16,5.9,50.2,Clay,Zaid,Pune,Mungbean
26.2,88.1,77.53672054156621,114,34,53,5.9,47.8,Black,Zaid,Ahmedabad,Watermelon
22.4,88.0,80.56564178442004,38,26,38,6.4,119.5,Red,Rabi,Hyderabad,Pomegranate
29.7,51.2,37.76385117245364,28,69,23,7.5,108.6,Loamy,Kharif,Mumbai,Pigeonpeas
27.2,69.6,55.0083127791953,15,69,26,6.2,42.6,Red,Kharif,Chennai,Lentil
25.7,66.6,61.17022037898315,100,33,23,6.4,147.9,Loamy,Kharif,Nashik,Coffee
19.5,20.5,12.93550508093504,33,56,10,6.1,90.9,Black,Zaid,Nagpur,Kidneybeans
17.8,97.1,86.33465222822097,15,24,17,6.7,107.4,Black,Kharif,Bangalore,Orange
27.8,89.8,77.86135134990825,50,45,44,5.8,135.2,Red,Rabi,Mumbai,Papaya
30.5,68.8,59.030143208764315,24,59,25,6.8,53.8,Red,Rabi,Nashik,Mungbean
10.5,91.9,81.57142241344071,16,148,207,6.5,114.1,Loamy,Rabi,Delhi,Apple
19.1,87.9,80.24740676360412,33,12,14,6.9,132.2,Clay,Zaid,Kolkata,Orange
26.3,94.4,88.14648461420659,57,63,59,6.5,163.7,Black,Rabi,Nagpur,Papaya
23.3,91.5,78.53556977814142,88,34,58,6.9,55.6,Red,Zaid,Pune,Watermelon
24.8,88.0,74.84986593908575,32,17,48,5.9,116.9,Black,Kharif,Bangalore,Pomegranate
20.2,69.8,59.82263241867297,21,78,22,6.6,52.2,Clay,Zaid,Delhi,Lentil
21.0,97.7,88.25506060507506,36,10,10,6.0,125.7,Red,Kharif,Chennai,Orange
25.6,91.1,83.50416302621225,41,40,57,7.0,182.3,Loamy,Zaid,Hyderabad,Papaya
28.0,85.8,71.92554377336731,81,38,39,6.6,203.9,Black,Kharif,Kolkata,Rice
27.3,96.5,90.0,58,65,52,6.9,161.2,Clay,Kharif,Kolkata,Papaya
23.0,93.7,87.85815705055458,33,23,43,5.4,100.1,Black,Rabi,Nagpur,Pomegranate
26.8,51.0,38.22402703323816,26,42,36,6.4,99.1,Red,Zaid,Delhi,Mango
25.7,24.9,18.500557003856756,23,59,25,5.4,89.0,Clay,Zaid,Pune,Kidneybeans
29.9,71.0,61.49188994143434,34,43,25,7.4,44.1,Black,Rabi,Chennai,Mungbean
32.3,57.7,50.07719637685397,42,15,24,4.7,95.5,Loamy,Zaid,Kolkata,Mango
30.3,51.7,39.79393798927481,17,19,33,4.3,99.0,Clay,Kharif,Kolkata,Mango
5.0,88.9,80.14857010379183,27,138,190,6.4,124.9,Red,Zaid,Nagpur,Apple
5.0,97.7,88.90487316816771,39,121,194,6.5,119.6,Red,Zaid,Pune,Apple
24.3,78.9,71.07034919385471,106,86,56,6.4,105.2,Loamy,Rabi,Pune,Banana
27.4,87.4,75.02628147711846,36,12,36,6.7,186.2,Red,Kharif,Chennai,Coconut
18.4,50.4,41.399462972582356,44,72,20,6.9,94.1,Loamy,Zaid,Ahmedabad,Pigeonpeas
23.3,67.6,57.76740090568148,68,34,48,5.8,149.9,Clay,Kharif,Hyderabad,Jute
25.0,89.0,81.15842406659587,117,11,42,6.6,57.6,Black,Zaid,Pune,Watermelon
21.4,32.2,17.252099827241743,25,78,23,5.3,140.8,Loamy,Zaid,Hyderabad,Kidneybeans
